ID,Data,Campeonato,Time Casa,Time Fora,Mercado,Resultado Mercado,Probabilidade Modelo,Odd Mercado,Odd Justa,EV,Edge,Kelly,xG Casa,xG Fora,xGA Casa,xGA Fora,Forma Casa,Forma Fora,Eficiência Casa,Eficiência Fora,Chutes Casa,Chutes Fora,Gols Esperados Casa,Gols Esperados Fora,Placar Final
1,,Brasileirão,Coritiba,Bahia,Under 2.5,,,,,,,,,,,,,,,,,,,,
2,,Brasileirão,Vasco,Bragantino,Vitória Fora,,,,,,,,,,,,,,,,,,,,
3,,Brasileirão,São Paulo,Botafogo,Under 2.5,,,,,,,,,,,,,,,,,,,,
4,,Brasileirão,Flamengo,Coritiba,Under 2.5,,,,,,,,,,,,,,,,,,,,
5,,Brasileirão,Athletico PR,Mirassol,Under 2.5,,,,,,,,,,,,,,,,,,,,
6,,Brasileirão,Grêmio,Corinthians,BTTS NÃO,,,,,,,,,,,,,,,,,,,,
7,,Brasileirão,Bahia,Botafogo,Under 2.5,,,,,,,,,,,,,,,,,,,,
8,,Brasileirão,Santos,Vitoria,Under 2.5,,,,,,,,,,,,,,,,,,,,
9,,Brasileirão,Bragantino,Internacional,Vitória Fora,,,,,,,,,,,,,,,,,,,,
10,,Brasileirão,Vasco,Atlético MG,BTTS NÃO,,,,,,,,,,,,,,,,,,,,
11,,Brasileirão,Palmeiras,Chapecoense,Under 2.5,,,,,,,,,,,,,,,,,,,,
12,,Brasileirão,Remo,São Paulo,Under 2.5,,,,,,,,,,,,,,,,,,,,
13,,Brasileirão,Cruzeiro,Fluminense,Vitória Fora,,,,,,,,,,,,,,,,,,,,
14,29/08/2026,Brasileirão,Atlético-MG,Vitória,Fora vence + Over 1.5,,0.23382088599181855,0.0,4.276777909544788,0.49645367034763876,0.07757088599181855,0.09193586487919236,1.41,1.24,1.59,1.64,8.0,1.0,10.0,8.0,5.0,3.0,1.3649887196841513,1.1908139142181695,
